model_name,hour,unique_count
Llama_3.2_11B,2025-02-28 05:00:00+00:00,8
gpt-4o,2025-02-28 05:00:00+00:00,66
Llama_3.2_11B,2025-02-28 06:00:00+00:00,285
gpt-4o,2025-02-28 06:00:00+00:00,200
Llama_3.2_11B,2025-02-28 07:00:00+00:00,354
gpt-4o,2025-02-28 07:00:00+00:00,63
Llama_3.2_11B,2025-02-28 08:00:00+00:00,305
gpt-4o,2025-02-28 12:00:00+00:00,214
gemini-2.0-flash,2025-02-28 13:00:00+00:00,152
gpt-4o,2025-02-28 13:00:00+00:00,299
gemini-2.0-flash,2025-02-28 14:00:00+00:00,248
gpt-4o,2025-02-28 14:00:00+00:00,167
gemini-2.0-flash,2025-02-28 15:00:00+00:00,299
gpt-4o,2025-02-28 15:00:00+00:00,300
gemini-2.0-flash,2025-02-28 16:00:00+00:00,66
gpt-4o,2025-02-28 16:00:00+00:00,307
gpt-4o,2025-02-28 17:00:00+00:00,289
Llama_3.2_11B,2025-02-28 18:00:00+00:00,72
gemini-2.0-flash,2025-02-28 18:00:00+00:00,337
gpt-4o,2025-02-28 18:00:00+00:00,219
Llama_3.2_11B,2025-02-28 19:00:00+00:00,190
gemini-2.0-flash,2025-02-28 19:00:00+00:00,81
gpt-4o,2025-02-28 19:00:00+00:00,295
Llama_3.2_11B,2025-02-28 20:00:00+00:00,281
gemini-2.0-flash,2025-02-28 20:00:00+00:00,80
gpt-4o,2025-02-28 20:00:00+00:00,280
Llama_3.2_11B,2025-02-28 21:00:00+00:00,267
gpt-4o,2025-02-28 21:00:00+00:00,203
gpt-4o,2025-02-28 22:00:00+00:00,316
Llama_3.2_11B,2025-02-28 23:00:00+00:00,63
gemini-2.0-flash,2025-02-28 23:00:00+00:00,60
gpt-4o,2025-02-28 23:00:00+00:00,274
llava-med-v1.5-mistral-7b,2025-02-28 23:00:00+00:00,410
Llama_3.2_11B,2025-03-01 00:00:00+00:00,141
gemini-2.0-flash,2025-03-01 00:00:00+00:00,67
gpt-4o,2025-03-01 00:00:00+00:00,303
llava-med-v1.5-mistral-7b,2025-03-01 00:00:00+00:00,410
Llama_3.2_11B,2025-03-01 01:00:00+00:00,197
gpt-4o,2025-03-01 01:00:00+00:00,173
llava-med-v1.5-mistral-7b,2025-03-01 01:00:00+00:00,256
Llama_3.2_11B,2025-03-01 02:00:00+00:00,172
gemini-2.0-flash,2025-03-01 02:00:00+00:00,109
gpt-4o,2025-03-01 02:00:00+00:00,354
llava-med-v1.5-mistral-7b,2025-03-01 02:00:00+00:00,418
Llama_3.2_11B,2025-03-01 03:00:00+00:00,165
gemini-2.0-flash,2025-03-01 03:00:00+00:00,4
gpt-4o,2025-03-01 03:00:00+00:00,515
llava-med-v1.5-mistral-7b,2025-03-01 03:00:00+00:00,405
Llama_3.2_11B,2025-03-01 04:00:00+00:00,183
gpt-4o,2025-03-01 04:00:00+00:00,534
llava-med-v1.5-mistral-7b,2025-03-01 04:00:00+00:00,245
Llama_3.2_11B,2025-03-01 05:00:00+00:00,173
gpt-4o,2025-03-01 05:00:00+00:00,403
llava-med-v1.5-mistral-7b,2025-03-01 05:00:00+00:00,393
Llama_3.2_11B,2025-03-01 06:00:00+00:00,167
gpt-4o,2025-03-01 06:00:00+00:00,359
llava-med-v1.5-mistral-7b,2025-03-01 06:00:00+00:00,323
Llama_3.2_11B,2025-03-01 07:00:00+00:00,259
gpt-4o,2025-03-01 07:00:00+00:00,168
llava-med-v1.5-mistral-7b,2025-03-01 07:00:00+00:00,291
Llama_3.2_11B,2025-03-01 08:00:00+00:00,242
gpt-4o,2025-03-01 08:00:00+00:00,184
llava-med-v1.5-mistral-7b,2025-03-01 08:00:00+00:00,382
Llama_3.2_11B,2025-03-01 09:00:00+00:00,257
gpt-4o,2025-03-01 09:00:00+00:00,159
llava-med-v1.5-mistral-7b,2025-03-01 09:00:00+00:00,279
Llama_3.2_11B,2025-03-01 10:00:00+00:00,214
llava-med-v1.5-mistral-7b,2025-03-01 10:00:00+00:00,325
Llama_3.2_11B,2025-03-01 11:00:00+00:00,406
llava-med-v1.5-mistral-7b,2025-03-01 11:00:00+00:00,386
Llama_3.2_11B,2025-03-01 12:00:00+00:00,359
llava-med-v1.5-mistral-7b,2025-03-01 12:00:00+00:00,242
Llama_3.2_11B,2025-03-01 13:00:00+00:00,194
llava-med-v1.5-mistral-7b,2025-03-01 13:00:00+00:00,344
Llama_3.2_11B,2025-03-01 14:00:00+00:00,287
llava-med-v1.5-mistral-7b,2025-03-01 14:00:00+00:00,390
Llama_3.2_11B,2025-03-01 15:00:00+00:00,260
llava-med-v1.5-mistral-7b,2025-03-01 15:00:00+00:00,220
Llama_3.2_11B,2025-03-01 16:00:00+00:00,211
llava-med-v1.5-mistral-7b,2025-03-01 16:00:00+00:00,372
Llama_3.2_11B,2025-03-01 17:00:00+00:00,159
llava-med-v1.5-mistral-7b,2025-03-01 17:00:00+00:00,398
Llama_3.2_11B,2025-03-01 18:00:00+00:00,245
llava-med-v1.5-mistral-7b,2025-03-01 18:00:00+00:00,200
CheXagent-8b,2025-03-01 19:00:00+00:00,149
Llama_3.2_11B,2025-03-01 19:00:00+00:00,230
gemini-2.0-flash,2025-03-01 19:00:00+00:00,76
gpt-4o,2025-03-01 19:00:00+00:00,17
llava-med-v1.5-mistral-7b,2025-03-01 19:00:00+00:00,452
CheXagent-8b,2025-03-01 20:00:00+00:00,608
Llama_3.2_11B,2025-03-01 20:00:00+00:00,84
gemini-2.0-flash,2025-03-01 20:00:00+00:00,518
gpt-4o,2025-03-01 20:00:00+00:00,309
llava-med-v1.5-mistral-7b,2025-03-01 20:00:00+00:00,278
CheXagent-8b,2025-03-01 21:00:00+00:00,195
gemini-2.0-flash,2025-03-01 21:00:00+00:00,353
gpt-4o,2025-03-01 21:00:00+00:00,283
gemini-2.0-flash,2025-03-01 22:00:00+00:00,267
gpt-4o,2025-03-01 23:00:00+00:00,185
gemini-2.0-flash,2025-03-02 00:00:00+00:00,1
gpt-4o,2025-03-02 00:00:00+00:00,296
CheXagent-8b,2025-03-02 01:00:00+00:00,451
gpt-4o,2025-03-02 01:00:00+00:00,298
gpt-4o,2025-03-02 02:00:00+00:00,174
gpt-4o,2025-03-02 04:00:00+00:00,303
gpt-4o,2025-03-02 05:00:00+00:00,311
gpt-4o,2025-03-02 06:00:00+00:00,304
gpt-4o,2025-03-02 07:00:00+00:00,36
gemini-2.0-flash,2025-03-02 08:00:00+00:00,121
gpt-4o,2025-03-02 08:00:00+00:00,91
